tempo,intensidade
0.4000,0.0385
0.4500,0.0359
0.5000,0.0405
0.5500,0.0410
0.6000,0.0422
0.6500,0.0392
0.7000,0.0371
0.7500,0.0431
0.8000,0.0385
0.8500,0.0428
0.9000,0.0364
0.9500,0.0414
1.0000,0.0362
1.0500,0.0424
1.1000,0.0387
1.1500,0.0381
1.2000,0.0370
1.2500,0.0398
1.3000,0.0423
1.3500,0.0416
1.4000,0.0408
1.4500,0.0374
1.5000,0.0435
1.5500,0.0385
1.6000,0.0432
1.6500,0.0371
1.7000,0.0406
1.7500,0.0365
1.8000,0.0423
1.8500,0.0406
1.9000,0.0435
1.9500,0.0387
2.0000,0.0388
2.0500,0.0433
2.1000,0.0404
2.1500,0.0425
2.2000,0.0365
2.2500,0.0425
2.3000,0.0372
2.3500,0.0439
2.4000,0.0378
2.4500,0.0432
2.5000,0.0366
2.5500,0.0405
2.6000,0.0418
2.6500,0.0422
2.7000,0.0400
2.7500,0.0372
2.8000,0.0429
2.8500,0.0384
2.9000,0.0433
2.9500,0.0366
3.0000,0.0410
3.0500,0.0363
3.1000,0.0427
3.1500,0.0390
3.2000,0.0429
3.2500,0.0376
3.3000,0.0387
3.3500,0.0425
3.4000,0.0404
3.4500,0.0417
3.5000,0.0366
3.5500,0.0423
3.6000,0.0370
3.6500,0.0434
3.7000,0.0368
3.7500,0.0426
3.8000,0.0360
3.8500,0.0410
3.9000,0.0409
3.9500,0.0422
4.0000,0.0387
4.0500,0.0375
4.1000,0.0430
4.1500,0.0391
4.2000,0.0423
4.2500,0.0357
4.3000,0.0414
4.3500,0.0363
4.4000,0.0427
4.4500,0.0378
4.5000,0.0426
4.5500,0.0369
4.6000,0.0395
4.6500,0.0416
4.7000,0.0412
4.7500,0.0399
4.8000,0.0366
4.8500,0.0426
4.9000,0.0378
4.9500,0.0422
5.0000,0.0360
5.0500,0.0405
5.1000,0.0354
5.1500,0.0420
5.2000,0.0381
5.2500,0.0427
5.3000,0.0366
5.3500,0.0391
5.4000,0.0416
5.4500,0.0408
5.5000,0.0403
5.5500,0.0360
5.6000,0.0426
5.6500,0.0372
5.7000,0.0426
5.7500,0.0360
5.8000,0.0411
5.8500,0.0354
5.9000,0.0415
5.9500,0.0385
6.0000,0.0430
6.0500,0.0369
6.1000,0.0385
6.1500,0.0421
6.2000,0.0402
6.2500,0.0412
6.3000,0.0357
6.3500,0.0422
6.4000,0.0369
6.4500,0.0426
6.5000,0.0370
6.5500,0.0428
6.6000,0.0360
6.6500,0.0408
6.7000,0.0410
6.7500,0.0422
6.8000,0.0389
6.8500,0.0378
6.9000,0.0429
6.9500,0.0392
7.0000,0.0430
7.0500,0.0365
7.1000,0.0416
7.1500,0.0368
7.2000,0.0436
7.2500,0.0386
7.3000,0.0437
7.3500,0.0373
7.4000,0.0403
7.4500,0.0425
7.5000,0.0414
7.5500,0.0412
7.6000,0.0372
7.6500,0.0434
7.7000,0.0385
7.7500,0.0437
7.8000,0.0369
7.8500,0.0428
7.9000,0.0367
7.9500,0.0421
8.0000,0.0400
8.0500,0.0437
8.1000,0.0386
8.1500,0.0388
8.2000,0.0433
8.2500,0.0406
8.3000,0.0421
8.3500,0.0365
8.4000,0.0400
8.4500,0.0375
8.5000,0.0430
8.5500,0.0376
8.6000,0.0428
8.6500,0.0363
8.7000,0.0411
8.7500,0.0406
8.8000,0.0421
8.8500,0.0386
8.9000,0.0371
8.9500,0.0426
9.0000,0.0387
9.0500,0.0424
9.1000,0.0358
9.1500,0.0406
9.2000,0.0360
9.2500,0.0426
9.3000,0.0381
9.3500,0.0432
9.4000,0.0373
9.4500,0.0404
9.5000,0.0426
9.5500,0.0415
9.6000,0.0413
9.6500,0.0370
9.7000,0.0394
9.7500,0.0381
9.8000,0.0440
9.8500,0.0375
9.9000,0.0438
9.9500,0.0374
10.0000,0.0425
10.0500,0.0417
10.1000,0.0443
10.1500,0.0407
10.2000,0.0397
10.2500,0.0454
10.3000,0.0415
10.3500,0.0452
10.4000,0.0389
10.4500,0.0447
10.5000,0.0395
10.5500,0.0459
10.6000,0.0430
10.6500,0.0469
10.7000,0.0421
10.7500,0.0425
10.8000,0.0475
10.8500,0.0445
10.9000,0.0469
10.9500,0.0411
11.0000,0.0463
11.0500,0.0426
11.1000,0.0489
11.1500,0.0443
11.2000,0.0497
11.2500,0.0432
11.3000,0.0459
11.3500,0.0486
11.4000,0.0474
11.4500,0.0479
11.5000,0.0430
11.5500,0.0460
11.6000,0.0436
11.6500,0.0500
11.7000,0.0436
11.7500,0.0493
11.8000,0.0423
11.8500,0.0473
11.9000,0.0476
11.9500,0.0482
12.0000,0.0455
12.0500,0.0428
12.1000,0.0437
12.1500,0.0435
12.2000,0.0483
12.2500,0.0417
12.3000,0.0471
12.3500,0.0410
12.4000,0.0465
12.4500,0.0443
12.5000,0.0466
12.5500,0.0422
12.6000,0.0417
12.6500,0.0400
12.7000,0.0429
12.7500,0.0450
12.8000,0.0388
12.8500,0.0431
12.9000,0.0385
12.9500,0.0449
13.0000,0.0399
13.0500,0.0449
13.1000,0.0380
13.1500,0.0410
13.2000,0.0432
13.2500,0.0417
13.3000,0.0411
13.3500,0.0368
13.4000,0.0391
13.4500,0.0379
13.5000,0.0434
13.5500,0.0367
13.6000,0.0422
13.6500,0.0364
13.7000,0.0423
13.7500,0.0399
13.8000,0.0438
13.8500,0.0392
13.9000,0.0396
13.9500,0.0376
14.0000,0.0416
14.0500,0.0439
14.1000,0.0383
14.1500,0.0428
14.2000,0.0396
14.2500,0.0463
14.3000,0.0407
14.3500,0.0467
14.4000,0.0400
14.4500,0.0448
14.5000,0.0471
14.5500,0.0472
14.6000,0.0459
14.6500,0.0430
14.7000,0.0457
14.7500,0.0450
14.8000,0.0514
14.8500,0.0452
14.9000,0.0514
14.9500,0.0455
15.0000,0.0517
15.0500,0.0505
15.1000,0.0538
15.1500,0.0496
15.2000,0.0502
15.2500,0.0487
15.3000,0.0528
15.3500,0.0547
15.4000,0.0494
15.4500,0.0537
15.5000,0.0509
15.5500,0.0569
15.6000,0.0517
15.6500,0.0573
15.7000,0.0508
15.7500,0.0559
15.8000,0.0556
15.8500,0.0576
15.9000,0.0533
15.9500,0.0530
16.0000,0.0515
16.0500,0.0550
16.1000,0.0562
16.1500,0.0507
16.2000,0.0537
16.2500,0.0514
16.3000,0.0570
16.3500,0.0507
16.4000,0.0559
16.4500,0.0490
16.5000,0.0542
16.5500,0.0528
16.6000,0.0536
16.6500,0.0503
16.7000,0.0486
16.7500,0.0472
16.8000,0.0495
16.8500,0.0517
16.9000,0.0454
16.9500,0.0494
17.0000,0.0443
17.0500,0.0499
17.1000,0.0459
17.1500,0.0497
17.2000,0.0436
17.2500,0.0449
17.3000,0.0411
17.3500,0.0450
17.4000,0.0460
17.4500,0.0401
17.5000,0.0433
17.5500,0.0401
17.6000,0.0463
17.6500,0.0401
17.7000,0.0452
17.7500,0.0384
17.8000,0.0417
17.8500,0.0372
17.9000,0.0428
17.9500,0.0412
18.0000,0.0381
18.0500,0.0393
18.1000,0.0391
18.1500,0.0438
18.2000,0.0375
18.2500,0.0436
18.3000,0.0376
18.3500,0.0434
18.4000,0.0387
18.4500,0.0451
18.5000,0.0407
18.5500,0.0411
18.6000,0.0403
18.6500,0.0437
18.7000,0.0464
18.7500,0.0406
18.8000,0.0467
18.8500,0.0426
18.9000,0.0493
18.9500,0.0453
19.0000,0.0510
19.0500,0.0451
19.1000,0.0480
19.1500,0.0454
19.2000,0.0520
19.2500,0.0523
19.3000,0.0477
19.3500,0.0519
19.4000,0.0511
19.4500,0.0569
19.5000,0.0508
19.5500,0.0577
19.6000,0.0518
19.6500,0.0584
19.7000,0.0543
19.7500,0.0610
19.8000,0.0547
19.8500,0.0586
19.9000,0.0552
19.9500,0.0618
20.0000,0.0593
20.0500,0.0570
20.1000,0.0575
20.1500,0.0598
20.2000,0.0628
20.2500,0.0566
20.3000,0.0602
20.3500,0.0575
20.4000,0.0641
20.4500,0.0573
20.5000,0.0623
20.5500,0.0564
20.6000,0.0621
20.6500,0.0566
20.7000,0.0627
20.7500,0.0563
20.8000,0.0589
20.8500,0.0540
20.9000,0.0600
20.9500,0.0574
21.0000,0.0543
21.0500,0.0542
21.1000,0.0550
21.1500,0.0581
21.2000,0.0510
21.2500,0.0549
21.3000,0.0499
21.3500,0.0561
21.4000,0.0493
21.4500,0.0543
21.5000,0.0474
21.5500,0.0507
21.6000,0.0455
21.6500,0.0504
21.7000,0.0484
21.7500,0.0447
21.8000,0.0447
21.8500,0.0441
21.9000,0.0492
21.9500,0.0417
22.0000,0.0466
22.0500,0.0404
22.1000,0.0456
22.1500,0.0395
22.2000,0.0458
22.2500,0.0408
22.3000,0.0403
22.3500,0.0388
22.4000,0.0414
22.4500,0.0436
22.5000,0.0374
22.5500,0.0419
22.6000,0.0375
22.6500,0.0440
22.7000,0.0389
22.7500,0.0439
22.8000,0.0377
22.8500,0.0406
22.9000,0.0377
22.9500,0.0425
23.0000,0.0424
23.0500,0.0387
23.1000,0.0411
23.1500,0.0400
23.2000,0.0463
23.2500,0.0423
23.3000,0.0464
23.3500,0.0404
23.4000,0.0454
23.4500,0.0414
23.5000,0.0473
23.5500,0.0462
23.6000,0.0440
23.6500,0.0451
23.7000,0.0463
23.7500,0.0512
23.8000,0.0445
23.8500,0.0513
23.9000,0.0457
23.9500,0.0523
24.0000,0.0475
24.0500,0.0542
24.1000,0.0494
24.1500,0.0514
24.2000,0.0494
24.2500,0.0546
24.3000,0.0550
24.3500,0.0508
24.4000,0.0538
24.4500,0.0532
24.5000,0.0584
24.5500,0.0560
24.6000,0.0585
24.6500,0.0522
24.7000,0.0587
24.7500,0.0535
24.8000,0.0599
24.8500,0.0542
24.9000,0.0564
24.9500,0.0530
25.0000,0.0587
25.0500,0.0567
25.1000,0.0533
25.1500,0.0539
25.2000,0.0551
25.2500,0.0583
25.3000,0.0514
25.3500,0.0561
25.4000,0.0512
25.4500,0.0576
25.5000,0.0516
25.5500,0.0562
25.6000,0.0494
25.6500,0.0532
25.7000,0.0473
25.7500,0.0535
25.8000,0.0501
25.8500,0.0484
25.9000,0.0469
25.9500,0.0483
26.0000,0.0521
26.0500,0.0448
26.1000,0.0494
26.1500,0.0439
26.2000,0.0495
26.2500,0.0430
26.3000,0.0496
26.3500,0.0428
26.4000,0.0441
26.4500,0.0405
26.5000,0.0447
26.5500,0.0453
26.6000,0.0395
26.6500,0.0429
26.7000,0.0395
26.7500,0.0456
26.8000,0.0404
26.8500,0.0448
26.9000,0.0381
26.9500,0.0416
27.0000,0.0371
27.0500,0.0429
27.1000,0.0414
27.1500,0.0375
27.2000,0.0396
27.2500,0.0390
27.3000,0.0438
27.3500,0.0401
27.4000,0.0429
27.4500,0.0370
27.5000,0.0425
27.5500,0.0373
27.6000,0.0440
27.6500,0.0393
27.7000,0.0397
27.7500,0.0385
27.8000,0.0411
27.8500,0.0441
27.9000,0.0431
27.9500,0.0439
28.0000,0.0391
28.0500,0.0456
28.1000,0.0404
28.1500,0.0468
28.2000,0.0408
28.2500,0.0429
28.3000,0.0401
28.3500,0.0452
28.4000,0.0461
28.4500,0.0412
28.5000,0.0449
28.5500,0.0416
28.6000,0.0485
28.6500,0.0437
28.7000,0.0488
28.7500,0.0421
28.8000,0.0465
28.8500,0.0425
28.9000,0.0483
28.9500,0.0465
29.0000,0.0435
29.0500,0.0453
29.1000,0.0448
29.1500,0.0500
29.2000,0.0464
29.2500,0.0487
29.3000,0.0427
29.3500,0.0482
29.4000,0.0428
29.4500,0.0490
29.5000,0.0452
29.5500,0.0440
29.6000,0.0431
29.6500,0.0458
29.7000,0.0487
29.7500,0.0466
29.8000,0.0472
29.8500,0.0419
29.9000,0.0477
29.9500,0.0422
30.0000,0.0484
30.0500,0.0423
30.1000,0.0440
30.1500,0.0407
30.2000,0.0447
30.2500,0.0458
30.3000,0.0457
30.3500,0.0442
30.4000,0.0403
30.4500,0.0466
30.5000,0.0411
30.5500,0.0465
30.6000,0.0392
30.6500,0.0428
30.7000,0.0383
30.7500,0.0434
30.8000,0.0425
30.8500,0.0387
30.9000,0.0401
30.9500,0.0395
31.0000,0.0446
31.0500,0.0403
31.1000,0.0435
31.1500,0.0368
31.2000,0.0423
31.2500,0.0371
31.3000,0.0435
31.3500,0.0386
31.4000,0.0384
31.4500,0.0375
31.5000,0.0402
31.5500,0.0423
31.6000,0.0415
31.6500,0.0402
31.7000,0.0366
31.7500,0.0430
31.8000,0.0378
31.8500,0.0427
31.9000,0.0362
31.9500,0.0401
32.0000,0.0358
32.0500,0.0419
32.1000,0.0392
32.1500,0.0425
32.2000,0.0376
32.2500,0.0382
32.3000,0.0426
32.3500,0.0395
32.4000,0.0413
32.4500,0.0359
32.5000,0.0421
32.5500,0.0368
32.6000,0.0429
32.6500,0.0369
32.7000,0.0392
32.7500,0.0361
32.8000,0.0409
32.8500,0.0404
32.9000,0.0423
32.9500,0.0384
